word,page,radical,count,code,hanyu
󲧮,225,󳜲,4,hgggxb,（遮）挡
󲧯,233,󳜲,4,hjdxz,祭献
󲧰,252,󳜲,4,hjghxb,（麻）雀
󲧱,253,󳜲,4,hphgxn,填塞
󲧲,255,󳜲,4,hzggxn,（纸张、衣服）破烂
󲧳,259,󳜲,4,hghvxb,1、葱；2、（象声词）
󲧴,260,󳜲,4,hfhxz,（尾）巴
󲧵,262,󳜲,4,hhghxz,赚（钱），挣（钱）
󲧶,265,󳜲,4,hyhgxn,（（彝语北部方言）圣乍次方言）
󲧷,267,󳜲,4,hghhxz,1、锦；2、（锦江）
󲧸,268,󳜲,4,hhggxz,炼
󲧹,269,󳜲,4,hghgxn,1、紧；2、忙；3、（着）急；
󲧺,269,󳜲,4,hhhpxn,遗传
󲧻,270,󳜲,4,hgthxv,茶
󲧼,270,󳜲,4,hgghxn,忍（饿）
󲧽,271,󳜲,4,hgfxv,（酸角）
󲧾,272,󳜲,4,hghfxn,制度，规矩，法律，原则
󲧿,280,󳜲,4,hjthxv,肺
󲨀,280,󳜲,4,hqqhxv,（气）阻
󲨁,280,󳜲,4,hpghxn,1、粉青色；2、花白色；
󲨂,283,󳜲,4,hgggxn,1、六；2、六祖；
󲨃,289,󳜲,4,hjhxm,缺
󲨄,293,󳜲,4,hjexv,怀孕
󲨅,297,󳜲,4,hhhdxm,1、走动；2、散步；
󲨆,297,󳜲,4,hjhxn,（向上）冒
󲨇,303,󳜲,4,hkxz,1、青；2、（地支）；3、（人名用词）；4、（地名用词）；
󲨈,303,󳜲,4,hfffxn,踩
󲨉,308,󳜲,4,hghhxn,（从上下滑）声
󲨊,312,󳜲,4,hghgxn,谢谢
󲨋,320,󳜲,4,hjixz,1、（领）牌；2、古怪；
󲨌,324,󳜲,4,hhghxn,（保）佑
󲨍,336,󳜲,4,hhppxn,小时
󲨎,339,󳜲,4,hgghxn,糊（焦）
󲨏,344,󳜲,4,hhggxn,犁（名词）
󲨐,351,󳜲,4,hhhhxz,（屋檐下）
󲨑,361,󳜲,4,hjgxz,小（路），毛（路）；
󲨒,363,󳜲,4,hhphxn,大象
󲨓,363,󳜲,4,hdddxv,康复
󲨔,371,󳜲,4,huhhxz,（语气词）
󲨕,380,󳜲,4,hhbxn,九节狸；黄腰狸；白面狸；花狸；
󲨖,381,󳜲,4,hgjxn,畜牲（古语）
󲨗,386,󳜲,4,hfvxn,1、拌；2、调；
󲨘,390,󳜲,4,hghhxz,削（尖）
󲨙,1,󳜲,5,hhgihxn,关，闭
󲨚,1,󳜲,5,hghghxn,（乒乒砰砰）
󲨛,6,󳜲,5,hfhdxz,群（量词）
󲨜,17,󳜲,5,hghhixn,（臀部）
󲨝,19,󳜲,5,hgjgxn,翘
󲨞,19,󳜲,5,hhgghxm,（剖）开
󲨟,20,󳜲,5,hfhgxn,落（使动）
󲨠,31,󳜲,5,hththxn,（芋头）
󲨡,33,󳜲,5,hhghgxz,彗（星）
󲨢,35,󳜲,5,hyfdxm,（离开群体）
󲨣,39,󳜲,5,hjruxn,鬼
󲨤,42,󳜲,5,hkqxn,（蝴蝶）
󲨥,44,󳜲,5,hghhhxz,（监狱）
󲨦,44,󳜲,5,hgkxn,帮（名词）
󲨧,46,󳜲,5,hhkxz,捆（量词）
󲨨,54,󳜲,5,hkhggxn,（核桃）
󲨩,54,󳜲,5,hhoghxm,1、忘记（了）；2、（老鼠）；
󲨪,55,󳜲,5,hfjxv,兵、军
󲨫,67,󳜲,5,hhppgxn,发（给）
󲨬,69,󳜲,5,hfhhxn,1、（鬼）作祟；2、冤衍；
󲨭,71,󳜲,5,hihhhxm,1、（弟）兄；
󲨮,75,󳜲,5,hokxn,力
󲨯,83,󳜲,5,hjtfxn,（灶孔）
󲨰,83,󳜲,5,hjghxn,（虐待）
󲨱,89,󳜲,5,hfugxn,班、辈
󲨲,94,󳜲,5,hghghxb,捏
󲨳,95,󳜲,5,hddghxn,挤（奶）
󲨴,113,󳜲,5,hhgthxn,磨
󲨵,119,󳜲,5,hhghyxn,癫痫病
󲨶,122,󳜲,5,hthghxn,林
󲨷,123,󳜲,5,hghpgxn,大麦
󲨸,131,󳜲,5,hhghhxn,换（工）
󲨹,136,󳜲,5,hhgfxb,（围）堵（古语）
󲨺,136,󳜲,5,hjjxn,1、拿着；2、握；
󲨻,139,󳜲,5,hjggxc,喷嚏
󲨼,140,󳜲,5,hghghxz,累，疲倦
󲨽,140,󳜲,5,hhgghxn,下方
󲨾,143,󳜲,5,hfhgxn,（加盐佐料）泡
󲨿,150,󳜲,5,hfghxz,死板，不灵活
󲩀,151,󳜲,5,hghdhxn,割
󲩁,153,󳜲,5,hghghxn,鸽子，斑鸠
󲩂,162,󳜲,5,hjhhxn,（背扇）
󲩃,165,󳜲,5,hkhxn,（火）镰，（火石）
󲩄,167,󳜲,5,hjppxz,镶
󲩅,171,󳜲,5,hjggxb,肮脏，污染
󲩆,185,󳜲,5,hgjgxn,吸（烟）
󲩇,192,󳜲,5,hvfhxn,寻觅（踪迹）
󲩈,212,󳜲,5,hhhhkxm,跳
󲩉,221,󳜲,5,hthhdxm,1、舒适；2、（补药）；
󲩊,230,󳜲,5,hhghgxc,吸吮
󲩋,233,󳜲,5,hhhggxn,1、敬奉；2、祝（酒）；
󲩌,240,󳜲,5,hghghxn,贷、借（不还原物的借）
󲩍,246,󳜲,5,hqqqhxv,庶（民）
󲩎,248,󳜲,5,hjgpxc,（豆腐）
󲩏,249,󳜲,5,hhgfxb,尺（度）
󲩐,251,󳜲,5,hhghhxv,恶龙
󲩑,255,󳜲,5,hykxv,（鲸鱼）
󲩒,262,󳜲,5,ghthdxm,瘦（肉），精（肉）
󲩓,267,󳜲,5,hjkxb,（燕子）；（叽里，蟋蟀叫声）
󲩔,267,󳜲,5,hhgghxc,禁止
󲩕,268,󳜲,5,hghpgxc,兆（数词）
󲩖,269,󳜲,5,hkhxz,传染
󲩗,277,󳜲,5,hghgdxm,（生气，发怒）
󲩘,279,󳜲,5,hfhhxz,1、栖息；2、穴居；3、群；4；窝
󲩙,292,󳜲,5,hgjuxn,1、称，衡量；2、量
󲩚,299,󳜲,5,hkdxn,岔开
󲩛,299,󳜲,5,hghppxn,穿串
󲩜,299,󳜲,5,hgyggxv,（柿子）
󲩝,303,󳜲,5,hthhhxn,麸（fu）皮
󲩞,317,󳜲,5,hgkxn,玉
󲩟,331,󳜲,5,hjjhxn,（象声词）（禁不住发笑的声音）
󲩠,342,󳜲,5,hjghxm,前（后），周（围）
󲩡,351,󳜲,5,hhkxn,（天井）
󲩢,354,󳜲,5,hghhhxz,明（天）
󲩣,361,󳜲,5,hpfgxc,（石）沙
󲩤,368,󳜲,5,hpfhxv,（取钱）
󲩥,376,󳜲,5,hjfxv,卡
󲩦,380,󳜲,5,hghjxn,站（立）
󲩧,381,󳜲,5,hihhixz,嘴
󲩨,389,󳜲,5,hgyghxn,发烧
󲩩,10,󳜲,6,hdjxv,倒塌
󲩪,10,󳜲,6,hfhghxm,（一）切
󲩫,62,󳜲,6,hkgjxn,（什么）
󲩬,65,󳜲,6,hdffxz,招（手）
󲩭,67,󳜲,6,hjgggxz,威胁
󲩮,74,󳜲,6,hhggghxn,1、（吉利）；2、（人名用词）
󲩯,88,󳜲,6,hhgthhxn,留（念、下）
󲩰,96,󳜲,6,hggkxn,药
󲩱,97,󳜲,6,hgkgxn,1、（沼泽地）；2、（人名用词）；
󲩲,98,󳜲,6,hfhggxn,钻、凿
󲩳,100,󳜲,6,hffhxn,（墨水）
󲩴,101,󳜲,6,hkgtxc,1、潲（雨）；2、（白鹇（鸟名））；
󲩵,122,󳜲,6,hgjggxn,住宿
󲩶,125,󳜲,6,hjghjxn,揉
󲩷,119,󳜲,6,hgrjxn,棕（树）
󲩸,130,󳜲,6,hghhghxn,抱
󲩹,135,󳜲,6,hfhghhxz,狠
󲩺,147,󳜲,6,hfjpxn,碰
󲩻,149,󳜲,6,hfhfxn,除（掉）
󲩼,153,󳜲,6,hggpghxn,（傻子）
󲩽,166,󳜲,6,hhffxv,定
󲩾,167,󳜲,6,hhghggxn,（花衣服（专指彝族妇女上衣盛装））
󲩿,203,󳜲,6,hfjdxn,1、角落；2、拐角；
󲪀,203,󳜲,6,hgjthxn,（饲养）槽
󲪁,221,󳜲,6,hhddxm,（质量）特差
