word,page,radical,count,code,pinyins,hanyu,hanyukey
󳔑,297,󳝞,7,thgggggxv,威宁:ȵdʑu³³,敬爱,敬爱
󳔒,373,󳝞,7,thfhthxv,威宁:ɣɯ³³/红河:ɣo²¹/巍山:va⁵⁵/喜德:tsɿ³³（ni³³）/大方:ɣɯ³³/石屏:（nə⁵⁵）mu³³/永仁:kɛ¹³/盘县:ɣɐ³³/隆林:ŋə⁵⁵/毕节:ɣɯ³³,紫红色,紫红色
󳔓,44,󳝟,3,ghhxn,威宁:bu²¹/红河:ɣu²¹/巍山:kʼua³³/喜德:kʼa³³/石屏:bu⁵⁵/隆林:kə³³/大方:xɐ⁵⁵,谢,谢
󳔔,66,󳝟,3,ghdxz,威宁:fa³³/大方:ndi⁵⁵/毕节:fa¹³,（悄悄的）,（悄悄的）
󳔕,130,󳝟,3,ghjxn,喜德:ta²¹,（芋头）,（芋头）
󳔖,132,󳝟,3,ghpxn,威宁:to²¹/石林:to³³/红河:ta²¹/巍山:tu³³/喜德:to²¹/楚雄:ta³³/禄劝:tɔ²¹/大方:to²¹/石屏:tæ²¹/永仁:tɔ³³/隆林:to⁵⁵,喝（使动）,喝（使动）
󳔗,138,󳝟,3,ghgxc,威宁:tie¹³/石林:tɐ⁵⁵/红河:to³³/巍山:tɐ²¹/喜德:tᴀ³³/楚雄:to³³/禄劝:to³³/石屏:to³³/永仁:to⁵⁵/隆林:tu⁵³/大方:ti³³,搁、放置,搁、放置
󳔘,243,󳝟,3,ghpxm,威宁:dʐa³³/红河:ȵi³³/巍山:ɣɯ⁵⁵/喜德:gu³³/楚雄:me²¹/石屏:ȵi³³/隆林:no⁵⁵/大方:dza³³/盘县:dʑɚ³³/毕节:dʐa³³,（家具、用具、器材）,（家具、用具、器材）
󳔙,248,󳝟,3,ghfxz,威宁:ɳdʐɪ¹³/石林:tɕi⁵⁵/红河:sɿ³³/巍山:sɬ³³/喜德:ɳdʐɿ⁵⁵/楚雄:tʂɪ³³/禄劝:ndʐʼi⁵⁵/石屏:tɕi³³/永仁:tɕi³³/隆林:tɕei⁵⁵/毕节:ndʐɪ³³,撕、扯（羊毛等）,撕、扯（羊毛等）
󳔚,277,󳝟,3,ghgxz,威宁:tɕʼi⁵⁵/石林:tʂi⁵⁵/红河:tɕʼi⁵⁵/喜德:tɕʼɿ⁵⁵/大方:tɕʼi⁵⁵/石屏:tɕʼi⁵⁵/隆林:tɕʼei⁵⁵/盘县:tɕʼi²¹/毕节:tɕʼi,伤心,伤心
󳔛,295,󳝟,3,hhjxm,威宁:ȵdʑy²¹/大方:dɯ²¹/毕节:dʑy²¹,无能、丑陋,无能、丑陋
󳔜,319,󳝟,3,hhhxz,威宁:ke⁵⁵/大方:kue⁵⁵/石屏:so²¹/毕节:kue⁵⁵,贵,贵
󳔝,368,󳝟,3,ghyxn,石屏:xɤ⁵⁵/毕节:xɯ³³,（庆祝）,（庆祝）
󳔞,30,󳝟,4,hhfxn,威宁:bi²¹/石屏:pæ²¹/盘县:bɪ²¹/大方:bu⁵⁵,倒毛,倒毛
󳔟,36,󳝟,4,ghghxn,威宁:bo⁵⁵/石林:bu²¹/红河:pa⁵⁵/巍山:ma⁵⁵/喜德:ba³³/禄劝:bɔ⁵⁵/石屏:ba⁵⁵/永仁:bɯ²¹/盘县:bu⁵¹/隆林:bɯ²¹/大方:ba³³/毕节:ba³³,背（孩子）,背（孩子）
󳔠,61,󳝟,4,ghhgxz,威宁:mʊ⁵⁵/巍山:mu²¹/盘县:mo⁵⁵/毕节:mu⁵⁵,逝世,逝世
󳔡,82,󳝟,4,hhggxz,威宁:tsa²¹/石林:tse⁵⁵/红河:tse²¹/巍山:tsɿ⁵⁵/喜德:tsɿ³³/禄劝:tɕʼe⁵⁵/石屏:tɕe²¹、do²¹/永仁:dzi³³/隆林:mə³³/大方:ndu⁵⁵/毕节:tsa¹³,接（受）,接（受）
󳔢,130,󳝟,4,ghfxn,喜德:tᴀ³³/巍山:ta⁵⁵/大方:ȵi⁵⁵/毕节:ŋi⁵⁵,剪,剪
󳔣,141,󳝟,4,hhhgxz,威宁:tʼe³³/石林:po⁵⁵/红河:po²¹/巍山:tsɿ²¹/喜德:dʑi³³/禄劝:tʼɚ³³/石屏:pɤ²¹/永仁:pɯ⁵⁵/隆林:tʼɚ⁵³/盘县:tʼɚ³³/大方:de³³/毕节:tʼe³³,倒（使动）,倒（使动）
󳔤,155,󳝟,4,hhhdxm,威宁:da¹³,（哪里）,（哪里）
󳔥,156,󳝟,4,hhgfxz,威宁:da¹³/喜德:bu⁵⁵/大方:ɖa²¹/毕节:da¹³,（夭折）,（夭折）
󳔦,156,󳝟,4,hhhgxn,威宁:da¹³/石林:to⁵⁵/红河:to⁵⁵/石屏:to⁵⁵/盘县:di³³/大方:dze³³/毕节:da⁵⁵,（（1）经常、天天；（2）哪天；）,（（1）经常、天天；（2）哪天；）
󳔧,172,󳝟,4,ghppxm,威宁:nɪ¹³/石林:na⁵⁵/红河:xɯ³³/巍山:liao²¹/喜德:ȵu⁵⁵/楚雄:sɛ⁵⁵/禄劝:ʂo⁵⁵/大方:ɳɛ¹³/石屏:xɯ³³/隆林:tɕei⁵⁵/盘县:nɯ²¹,1、燎；2、烧；,燎/烧；
