"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󳆯",,"tʼi²¹",,"ɣo¹³",,,,,,"ʔɔ²¹",,,
"󳆰","he¹³","ʔo³³","ŋɚ³³","he²¹","ŋɚ³³","ŋə⁵³","xer³³","xᴀ³³","mɯ⁵⁵","kɯ³³","mɯ³³","mi³³","ku⁵⁵"
"󳆱","ho³³","bu³³","ɳor²¹","hu³³","ho²¹",,"xu³³","xɯr³³",,"ɬu³³","ɕi³³（mᴀ³³）","fur³³","ɬo⁴⁴"
"󳆲","pi⁵⁵",,,"pie⁵⁵","pi⁵⁵","bɘ²¹","pi²¹",,,"nbo⁵⁵",,,
"󳆳","pi¹³;pi²¹","pu³³",,"pi¹³","pi²¹","paɯ³","pu³³",,,"ge²¹",,,
"󳆴","pu²¹","pɐ²¹","pu²¹",,"pu⁵¹","va⁵⁵","por²¹","por²¹","ku³³","pu²¹",,,"pu³³"
"󳆵",,"tɕo³³",,,,"pʼu⁵³",,,"tʂʼa³³","pʼur³³",,,
"󳆶","be³³","tse³³","mbʼa²¹","be⁵⁵",,,"bɛ³³","kæ³³","kʼa²¹","ʐa³³","hə³³","xə³³","dʐa²¹"
"󳆷","bu³³","bɯ³³","bɤ³³","bu³³","bo³³","pʼɯ⁵³","pʼu³³","po³³","ʑi²¹","pʼu³³",,"po³³","bu⁵⁵"
"󳆸","bu²¹","kʼuɚ³³","tɕe³³",,,,"ȵe³³",,"kʼa²¹","ba³³（ɬo²¹）",,,"tɕʼɿ²¹"
"󳆹","bʊ²¹","bo²¹","bo²¹","bʊ²¹","bo⁵¹","bu²¹、bo²¹","bo²¹","bo²¹","ba³³","bo²¹",,,"bɐ³³"
"󳆺","mbu⁵⁵","mbu⁵⁵","mbʼi³³","mbu⁵⁵","mbɪ⁵⁵","dʑei²¹","bu⁵⁵","bu³³","bi³³","mbɿ⁵⁵",,"bi³³","lo²¹"
"󳆻","fe¹³","fe³³","fe³³","fe³³","frɚ³³","fə³³","xo²¹","fɤ³³","fen³³","fi³³","fe³³",,"fe⁵⁵"
"󳆼",,,,,,,"fu²¹",,,,,,
"󳆽","ndzo¹³","ndzo³³","ndzʼɔ²¹",,,,"dza⁵⁵","tsa⁵⁵","dʐa⁵⁵","zo³³",,,"so³³"
"󳆾","ndzɿ²¹","ndi¹³","tʂʼar²¹","ndzʊ¹³",,"tɕʼe⁵³","tɕʼe³³","tɕʼer³³",,,,,
"󳆿",,,"so³³",,,,"sur²¹","su²¹",,,,,
"󳇀",,,,"za¹³",,,,"zᴀ⁵⁵",,,,,
"󳇁","ti³³、tie³³","ti³³",,"ti⁵⁵","tɯ²¹",,,,,,,,
"󳇂",,"dɤ³³",,,,,"dɤ³³",,"ha³³","dɤ³³",,,
"󳇃","ndy⁵⁵","ndi⁵⁵","ndʼɯ⁵⁵",,,,"dɯ²¹","dɯ²¹（ȵi⁵³）","di²¹","ŋo²¹","di²¹",,"du²¹"
"󳇄","ɖɯ³³","ɖɿ³³",,"ɖʅ³³","dɪ³³",,,"no⁵⁵",,,,,
"󳇅","tʂʅ⁵⁵","tsɿ³³","tʂʼʅ³³","tʂʅ³³","tsɿ³³","lu⁵⁵",,"tsʼɿ³³、lu²¹","mo²¹","gi²¹",,,
"󳇆",,,,"tʂʼʅ³³",,,"tʂʼʅ²¹","tsʼʅ²¹","tʂʼɿ²¹","go⁵⁵",,,
"󳇇","dʐu⁵⁵","dzɐ⁵⁵","dʐo⁵⁵","dʐu⁵⁵","dzo⁵⁵","tɕʼɯ⁵³","ɣɤ⁵⁵","lu⁵⁵","ku⁵⁵","dʑɛ⁵⁵","bu³³","ɣu²¹","nɐ⁵⁵"
"󳇈","ɳdʐɪ³³","ndzɐ³³",,,"ȵdʑi⁵⁵",,,,,,,,
"󳇉","ɳdʐu¹³","dzɿ²¹",,"ndʐu³³",,"dʑɯa²¹",,,,,,,
"󳇊",,"tɕi³³",,"tɕi³³",,,,,,"tɕi³³",,,
"󳇋",,,,"ɣe³³",,"maɯ²¹","ʑe³³","ʑe⁵⁵",,,,,"mɤ⁴⁴（lo²¹）"
"󳇌","ȵy³³","ȵi¹³","su³³",,,"nɯ⁵³me²¹","ȵi⁵⁵","ȵe⁵⁵","mɯ⁵⁵","hi²¹",,"mie⁵⁵",
"󳇍","ku⁵⁵","ku³³","tɔ³³","ku⁵⁵","kɯ³³","hɯ²¹","ko⁵³","ku⁵⁵","hu⁵⁵","ku⁵⁵","ku³³","ku⁵⁵","ho¹³"
"󳇎",,"kʊ²¹",,"ku²¹","kʊ²¹",,"ko²¹",,,,,,
"󳇏","gu²¹","gʊ²¹","kor²¹","gu²¹","gɪ⁵⁵","go²¹","ko²¹","kor²¹","kɔ¹³","kɔ²¹",,,
"󳇐","ŋo³³","ŋɐ³³","ŋo³³","ŋu³³","ŋo³³","ŋu⁵³","ŋo³³","ŋo³³","ʔa²¹","hɯ³³","ŋo⁵⁵","ŋo⁵⁵","ŋo⁵⁵"
"󳇑",,,,,,,"xu²¹","xu³³",,"xɯ²¹",,,
"󳇒","hɪ¹³","mɛ¹³","ȵi⁵⁵","ŋui¹³","ȵɪ²¹","ȵi⁵⁵、ŋi⁵⁵","ȵe²¹","ȵi²¹（y）mi²¹","mɤ²¹","mi⁵⁵","me²¹",,"ni²¹"
"󳇓","hy³³","hɯ³³",,"hy³³",,,"dʑi⁵⁵","dʑi⁵⁵","xo³³",,,,
"󳇔","ma⁵⁵",,"ma³³",,,,"ma³³","ma³³","maŋ³³","dzi³³",,,
"󳇕","tsɪ¹³","tse³³",,"tsɿ¹³","tɕir²¹","paɯ³³","pɛ⁵⁵","pɛ⁵⁵","bi⁵⁵",,,,
"󳇖",,"tʊ²¹","ɕe²¹","tu³³",,,"xɤ²¹","xɤ²¹","ka³³","si²¹",,,
"󳇗","ty³³","ȵdʑi³³","bɛ⁵⁵","ti³³",,"ȵdʑɯa⁵³","bɛ³³",,"gu³³","bɛ²¹",,,"bi³³"
"󳇘",,,,,,,,,"ʑaŋ³³","tᴀ²¹tʼu³³",,,
"󳇙","die³³","dʑy³³",,"du²¹",,"gɯa⁵³","pʼr⁵⁵","du²¹","lu²¹、bi²¹","ka³³",,"bi⁴⁴","gɤ²¹"
"󳇚","ndɪ¹³、mbi³³","mbu³³","mbʼɯ⁵⁵","nde²¹",,"ŋu⁵³","bu³³","du³³","vi²¹","sɿ³³","bɯ²¹","bɯ²¹","ŋɐ⁵"
"󳇛","na¹³","na¹³",,"na³³","na⁵¹","ne⁵³","ne³³","kʼu⁵⁵","kʼu⁵⁵","dʐu³³",,,"ne³³"
"󳇜","no¹³","no³³","no⁵⁵","ɳo¹³","nɯr²¹","nou⁵⁵","nu²¹","nur²¹","no³³","no⁵⁵","nu³¹","no²¹","no⁵⁵"
"󳇝","ɬi¹³、ɬie¹³","ɬi¹³",,"ɬi¹³","ɬɯ²¹","ɬɯa⁵⁵","ɬɤ²¹","ɬɤ²¹",,,,,
"󳇞",,"ʈʼʅ⁵⁵",,"ɬu¹³",,,,"ɬɯ³³",,,,,
"󳇟","ʈe²¹","ɖie²¹",,,"dɚ²¹",,,"mɤ²¹",,"dʑɛ²¹",,,
"󳇠","tʂʼu³³","tsʼu³³","tʂʼo³³","tʂʼu³³","tsʼu³³","tɕʼu⁵³","tɕʼo³³","tsʼo³³","tʂʼe³³","tʂʼe³³","tʂʼe³³","tʂʼe³³","tʂʼɐ²¹"
"󳇡","ɳdʐa³³","ndza³³","ɳdʐa²¹","ndʐa³³","ɳdʐa³³",,"tʂʼa²¹","dzᴀ³³","tʂʼa²¹","ndʐa³³",,,"tʂʼɐ²¹"
"󳇢",,,"dza²¹","ȵdʑe⁵⁵",,,"dʑɛ²¹","dɯ²¹",,"ȵdʑɛ²¹",,,
"󳇣","dʑi²¹","dʑi²¹","dzi²¹","dʑi²¹",,"lo²¹","dzi²¹","dzɿ³³","he²¹","to⁵⁵","ə³³","dzi³³","dzɿ³³"
"󳇤","ȵɪ³³","ȵi³³","ȵɯ⁵⁵","ȵi³³","ȵɪ³³","ŋi³³","ȵi⁵⁵","ȵi⁵⁵",,,,,
"󳇥",,,,"de³³",,,,,,"ŋga³³",,,
"󳇦","ŋe³³",,"ŋo³³","ŋue³³","ŋɚ³³","ŋɚ⁵³","ŋa³³","nɛ³³",,,,,
"󳇧","ŋe²¹","ŋie²¹",,"ŋe²¹","ŋɚ²¹",,,,,,,,
"󳇨","ŋo³³","tɕʼye⁵⁵","ŋor²¹","ŋo⁵⁵",,"ndʑə⁵³","ŋo⁵⁵","ŋo⁵⁵","kuaŋ⁵⁵","hɔ³³",,,
"󳇩",,,,"ŋo²¹",,"vɯa²¹","xo²¹","ŋo²¹",,,,,
"󳇪","xʊ³³、xo⁵⁵","xʊ³³","fo⁵⁵","xu³³","xo⁵⁵","xo³³","xo⁵⁵","xo⁵⁵",,"gu⁵⁵","ʔo⁵⁵",,"fᴀ³³"
"󳇫","ʔe³³","ʔe³³","ʔe³³","ʔɪ³³",,,,,,,,,
"󳇬","mɪ","mɛ³³","pi⁵⁵","mɪ³³","mi⁵¹","mei⁵³","mi³³","mi³³","tsʼɿ³³","mɿ³³","tsʼi³³","mi⁵⁵","mɪ⁵⁵"
"󳇭","nɪ¹³","nɛ¹³",,"nɪ¹³",,"tsʼaɯ⁵³","ȵe³³","ȵi³³","tso³³","tsʼɪ⁵⁵",,,
"󳇮","lɯ³³",,,"lɤ²¹","lɿ²¹",,,"lᴀ²¹","laŋ²¹","ʑɛ³³",,,
"󳇯","nɖɯ³³","xa¹³",,"ndɪ³³",,,,,,,,,
"󳇰","ʔɪ⁵⁵",,,"ʔi⁵⁵",,,,,,,,,
"󳇱","ho³³","tsʼɿ⁵⁵","hɯ³³","hio³³",,"baɯ⁵⁵","kʼɤ³³","xær³³","hu²¹",,,,
"󳇲",,"dza³³",,"ɬo²¹",,,,,,"ɬo²¹",,,
"󳇳","ɳdɪ³³","ɳɖɛ¹³","ndɔ⁵⁵","ɳdɪ³³","ndi²¹","ndei⁵⁵","tɤ⁵⁵","kʼᴀ²¹","dɪ²¹","kɯ²¹","biɛ²¹","dʑɛ²¹","bɛ²¹"
"󳇴","ɳɖɯ¹³","ŋgɯ²¹",,,,,,"dzɿ²¹","tsa¹³",,,,
"󳇵",,,,,,,"ɬɤ²¹","ɬɤr²¹","sao³³",,,,
"󳇶",,"tɕie³³",,"mu²¹","mu²¹","mɯ²¹","mu³³",,,"sɿ⁵⁵",,,
"󳇷","ɖɯ⁵⁵","ɖɿ⁵⁵","ɖə⁵⁵","ɳdʅ⁵⁵","dɯ⁵⁵","dou⁵³","du³³","du²¹","do³³","tuɚ⁵⁵","tu³³",,
"󳇸","pʼu³³","pʼɯ³³","mbʼə²¹","pʼu³³",,"mbu⁵³","bɛ²¹","bɛ²¹","be⁵⁵","pʼo³³","bie³³","ka³³","pɛ³³"
"󳇹","ʑi²¹",,,"ʑi²¹","ʑi²¹",,"ʑi³³",,"ɣɯ⁵⁵","ʑɿ³³","ʑi²¹",,"ʐɿ³³"
"󳇺","tse³³","dze³³","tsç³³","dze³³",,"tɕɔ⁵³","tsɛ³³","tsɛ³³",,"tsɿ³³",,,
"󳇻","ndza³³",,,"dza³³","zɿ²¹",,,"zɿ⁵⁵ndza³³","lou⁵⁵",,,,
"󳇼","sɪ¹³","sɛ¹³","sir⁵⁵","sɪ¹³","ɕir²¹","ɕei⁵⁵","si²¹","ɕir²¹","sʅ²¹","sʅ⁵⁵","si⁵⁵","xɤ⁵⁵","si³³"
"󳇽","tɪ¹³","tɛ¹³","mo³³","ti³³",,"tei²¹",,"mɛ²¹",,"tsɿ³³",,,
"󳇾",,,,"li³³",,,,,,"li³³",,,
"󳇿","ʈɯ³³","ʈɐ³³","lo³³",,"ɬɿ⁵⁵","ɬɚ⁵³","tʼa⁵⁵","tʼᴀ⁵⁵","ʈʼi³³","lɛ³³","tʼᴀ³³","ʈʼɔ⁵⁵","tʼᴀ⁵⁵、lɛ⁵⁵"
"󳈀","ʈʼu³³","ʈʼʊ⁵⁵",,"ʈʼu⁵⁵","tʼo³³",,,"tʼᴀ","ɕi⁵⁵",,,,
"󳈁","ɕʊ³³",,,,,,,,,,,,
"󳈂","ʑi³³","ʑi³³",,,,,,,"xu⁵⁵",,,,
"󳈃","ʑi²¹",,"ʑi²¹","ʑi²¹",,,,"ʑi²¹",,"ʑi²¹",,,
"󳈄",,"ɣɯ²¹",,"ɣɯ¹³",,,"ɣo²¹","ʑi²¹",,,,,
"󳈅","kʼɯ³³","kʼuei³³",,"kʼu³³",,,,,,,,,
"󳈆","pe²¹",,,,,,"pe²¹","pe²¹","wa³³（tʂa³³）",,,,
"󳈇","pʼe³³","pʼe²¹",,,,"tɕa⁵³",,,,"pʼu³³",,,
"󳈈",,"dɐ²¹",,"die²¹",,,"pʼɛr²¹",,,"tɕi³³",,,
"󳈉","pʼʊ²¹",,,"pʼu²¹",,,,,,,,,
"󳈊",,,,,,"bɯ²¹","bɛ⁵⁵","bɤ²¹",,,,,
"󳈋",,,,,"bɚ⁵¹",,,,,,,,"bɛ³³"
"󳈌","bo²¹",,,"bo²¹",,"bɯa²¹","bu⁵⁵","bu³³",,"bu³³",,,
