"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󳒡","po³³","poŋ³³",,"po⁵³",,"pɔ²¹",,,"poy³³",,,,
"󳒢","do²¹","do²¹","pʼi²¹","do²¹","do²¹",,"ɬi³³","dᴀ²¹","tɕʼi²¹","pʼɿ²¹",,,
"󳒣","ɖɪ¹³","xɯ³³","ɖʑi⁵⁵","ɖɪ¹³","di²¹","ɖei⁵⁵","dʑi⁵⁵","sɛ³³","tɕʼy²¹","ɖzɿ⁵⁵",,"ma⁵⁵","no³³"
"󳒤","ɳdʐo²¹","tʼo¹³",,"ndʐu²¹",,,"dʐa²¹","to³³",,,,,
"󳒥",,"gie²¹.ge²¹",,"ge²¹",,,,,,,,,
"󳒦","mo²¹","mʊ²¹","lar²¹",,,,,"tʼo",,"kʼɯ³³",,,
"󳒧","ndɯ²¹","ndʊ²¹",,"ndi²¹","ndɐ⁵⁵","ndɯ²¹",,,,"ndɯ³³",,,
"󳒨",,,,"kua¹³",,,"ka²¹","kᴀ²¹",,,,,
"󳒩","kʼu³³","tsʊ²¹",,"kʼu³³",,"nɚ²¹","xa²¹","（nɯ⁵⁵）zo³³","ʐã²¹","pʼo³³",,,"ho³³"
"󳒪","mo²¹",,"mu²¹","tsʼɿ²¹",,"mɯ²¹、tɕʼɔ²¹","ma³³","mar²¹（be²¹）","tsoŋ³³","ȵe³³",,,
"󳒫","ndza⁵⁵","tɕʼi³³",,"tɕʼi³³",,"mbɯ⁵³",,,,"ndzaɤ⁵⁵",,,
"󳒬","ti³³","ti³³","ti³³",,"ti³³",,"ti³³","ti³³","ti²¹",,,,
"󳒭","ɖʊ³³",,"ɖɯ⁵⁵","ɖu²¹","dɿ²¹","daɯ⁵⁵",,"se²¹","be⁵⁵","ȵdʑɿ⁵⁵","ɖʑi³³",,"ɖlu²¹"
"󳒮","ɳdʐʊ⁵⁵","ndzʊ⁵⁵",,"ndʐu⁵⁵",,,,"fur²¹","ku⁵⁵",,,,
"󳒯","tɕi²¹、tɕi³³","tɕi³³","tɕi³³","tɕɪ³³","tɕi⁵¹","tɕei⁵³","dʑu³³","dzu³³","gɔ³³","tɕɛ³³","dʑu³³",,
"󳒰","ka⁵⁵",,,"ka³³",,"tɚ⁵⁵",,"tsor²¹","tɕia³³","kɯ²¹",,,"kɐ³³"
"󳒱",,,"xɔ³³",,,,"ka⁵⁵","kᴀ⁵⁵",,,,,
"󳒲","tso³³","tsʼo³³","tso²¹","tso³³",,"tɕʼɯa⁵³","tsʼɤ³³","tsʼɤr³³","dʑi²¹","tsʼu³³","tsʼa²¹",,"tsʼɤ³³"
"󳒳","ndze¹³","ʑu⁵⁵","dze³³","ndzɪ¹³",,"ŋgi⁵⁵","（nci⁵⁵）di³³","gæ³³","me²¹","ndzɯ³³","tsə³³",,"tsi⁵⁵"
"󳒴","ti⁵⁵","ti⁵⁵","ti⁵⁵","ti⁵⁵",,,"le³³","ʔe³³","tsɿ²¹",,"tʼi⁵⁵",,"ʟe⁴⁴"
"󳒵","tʼi⁵⁵","tʼi⁵⁵",,"tʼi⁵⁵",,,,"ti²¹",,"dzo³³",,,
"󳒶","da³³","da³³","da²¹","da³³",,"xe³³","xe³³","xer³³",,,"ba³³",,"ɕe³³"
"󳒷","ndɯ²¹","ndɯ²¹",,"ndɤ²¹","ndɯ²¹","ndaɯ²¹","tʼɤ²¹","tɤ²",,"ti²¹",,,
"󳒸","dɯ³³","ʈʅ⁵⁵","ɖə²¹","dʅ³³","ʈɿ⁵⁵","dʑei²¹","da²¹","dʑi²¹",,"ȵdʑi⁵⁵","biᴀ²¹",,"ɬɯ³³"
"󳒹","dʐu³³","ɖʅ³³","ɖɯ³³","dʅ³³","dɿ³³","dɯ⁵³","tsʼɿ³³","dɯ³³","tɕʼi²¹","（li³³）tɕʼɿ³³","tʼo¹³",,
"󳒺","ɳdʐe²¹","ndze²¹",,"ndʐe²¹",,,,"dzɛ²¹",,,,,
"󳒻","ɳdʐe²¹","ndzo¹³",,"ndʐo¹³","ȵdʑɚ²¹",,,"tsʼɤ²¹","tsa¹³",,,,
"󳒼","ʂa¹³","sa⁵⁵","ʂar⁵⁵","ʂa¹³","sar²¹","ɕe⁵⁵","ɕe²¹","ɕer²¹","ɕɪ²¹","ʂo⁵⁵","ɕe⁵⁵","ɕe⁵⁵","ɕe⁵⁵"
"󳒽","xo²¹","xʊ¹³",,"xo²¹","xɐ²¹",,,,"ʔu²¹",,,,
"󳒾",,,,"pu⁵⁵",,"dɯa⁵⁵","pɤ³³","pɤr³³","lo³³",,,,"pɤ³³"
"󳒿","ndzu²¹","dzo²¹","ndzʼu²¹","ndzu²¹","ndzu²¹",,"ɬi²¹",,,"ndzu²¹",,"tsʼɪ³³","bu³³"
"󳓀",,"ʑi³³",,,,,"ʂʅ²¹","sɿ²¹",,,,,
"󳓁",,"xu⁵⁵","tʼo⁵⁵","xu⁵⁵",,,,,"sa⁵⁵",,,,
"󳓂","nɯ¹³","nɯ³³","ne³³","nɤ³³","nb³³","nɯa³³","ne⁵⁵","ȵe⁵⁵","ȵy⁵⁵","ni³³","nə³³","nə","nɯ⁴⁴"
"󳓃","ɬa³³","ɬa³³",,"ɬa³³",,"ɬə⁵³",,"dɛ³³、tʼᴀ³³",,,,,
"󳓄","ɬo³³","ɬo³³","ɬo⁵⁵","ɬo³³","ɬɿr²¹","laɯ⁵⁵","ɬɤ³³","ɬɤ³³","ʔlɿr²¹",,"læ⁵⁵","lɛ⁵⁵",
"󳓅","tʂʼo³³","tsʼo³³","tʂʼo²¹","tʂʼo³³",,"ɕa⁵³","tsʼɿ²¹","tʼɯ²¹、tsʼu³³","tsʼo³³","tɕʼɿ⁵⁵","tʂɯ⁵⁵","tʂʼu³³","tʂʼo³³"
"󳓆","tʂʼu³³","tsɿ³³",,"tɕʼi⁵⁵",,,,"pᴀ³³","tɕʼŋ²¹、tɕɿ³³",,,,
"󳓇","kʼu⁵⁵","kʼu⁵⁵",,"kʼu⁵⁵","kʼo⁵⁵",,,"fu²¹","fu¹³",,,,
"󳓈","pu³³","ɖa³³","pə³³","pʼo³³","pʊ³³","pʼa⁵³","pɤ³³","pɤ³³","tʂʼɐ³³","po³³",,,"po³³"
"󳓉",,,,,,,"pɤ²¹",,,,,,
"󳓊","nɯ¹³","mo¹³",,"ɳo¹³","na³³",,,"ŋur²¹",,,,,
"󳓋","kʼuee","kʼɐ³³","kʼo³³","kʼu³³","kʼʊ³³","kʼu⁵³","kʼo³³","kʼç³³","kʼᴀ²¹","ka³³",,,"kʼɐ²¹"
"󳓌","go³³","dɪe⁵⁵",,"go³³",,,"pa³³","dʑi⁵⁵",,,,,
"󳓍","tsʼɿ¹³",,"po³³、tɕʼə²¹","tɕʼi¹³",,"dʑaɯ⁵⁵","tsʼa³³","tsʼo⁵⁵","tɕʼao³³","tɕʼɛ³³",,"me⁵⁵",
"󳓎","ʈu¹³","ʈu³³","ʈu³³","ʈu³³","tu³³",,"ȵi³³","tʼu⁵⁵","ku⁵⁵",,"piu³³",,"ni³³"
"󳓏","ʑy³³","xe³³",,,"ɣʊ³³",,,"tɕʼe²¹",,,,,
"󳓐","ɖɪ¹³","ɖe³³","ɖi⁵⁵","ɖɪ³³",,"tɚ³³",,"bu²¹","ku⁵⁵",,,,
"󳓑","ʔi⁵⁵","tie⁵⁵","lo³³","ʔi⁵⁵",,,,,"lo¹³","zɿ⁵⁵",,,
"󳓒","ɖɪ¹³","ɖe¹³",,"ɖɪ¹³","di²¹",,,"di²¹",,,,,
"󳓓",,"go²¹","be³³","bɿ⁵⁵",,"bi⁵³","be³³","be³³",,"bi⁵⁵",,,"bɪ²¹"
"󳓔",,,,,,,,,,"bo⁵⁵",,,
"󳓕",,,,,,,,,,"bu³³",,,
"󳓖","tsʼɿ³³","tɕʼi³³","tsʼi³³",,"tɕʼi³³","tɕʼi⁵³","tsʼi³³","tɕʼi³³","tsʼɿ²¹","tsʼɿ³³",,"tsʼi²¹","tsʼɿ²¹"
"󳓗",,,,,,,,,,"tsʼɿ³³",,,
"󳓘","sɪ¹³","se¹³、ndu²¹",,"sɪ¹³",,"ɕei⁵⁵","si²¹",,"ɕɪr²¹","sɪ⁵⁵",,,
"󳓙",,,,,,,"tʼe²¹",,,,,,"ti⁵⁵"
"󳓚",,,,,,,"tu³³","tu³³","kɔ³³ku³³",,,,
"󳓛",,"ȵu³³",,"tʼa¹³",,,,"tʼe³³",,"bu³³",,,
"󳓜","do³³","do³³","do²¹","do³³",,"dou⁵³","du³³","du³³","do³³","dur³³",,"du³³","do³³"
"󳓝",,"mi⁵⁵",,,,,,"ɬi⁵⁵",,,,,
"󳓞","tɕʊ⁵⁵","ɣɯ²¹",,"tɕʊ⁵⁵",,,"ɕe²¹","pʼi³³",,"（pʼɿ³³tɕʼɛ³⁴）",,,
"󳓟","tɕʼʊ⁵⁵","tɕʼʊ⁵⁵",,"tɕʼʊ⁵⁵",,,,"dzᴀ⁵⁵",,"xo²¹",,,
"󳓠",,"tɕi²¹",,"tɕʼi²¹",,,,"tɕe²¹",,"ȵdʑɿ³³",,,
"󳓡","ʑo³³","ʑo³³","lir²¹","ʑo³³",,"le⁵³","li³³","gᴀ³³","ʔlɤ³³","ʑu³³",,,"tɬɿ⁵⁵"
"󳓢","kʼe²¹","tɕʼie²¹","tɕʼɚ²¹","tɕʼe²¹","tɕʼɚ²¹","tɕʼɚ²¹","kʼɛ³³","tsʼɛ²¹","kʼɯ⁵⁵","ɕi³³","tɕʼe³³","tɕʼi³³","tɕʼɛ³³"
"󳓣","ŋga¹³","ŋga¹³",,"ŋga¹³","ŋgar²¹",,"tsʼɛ²¹","tsʼɛ²¹","tɕʼe³³",,,,
"󳓤","pʼu⁵⁵","pʼu⁵⁵","pʼe⁵⁵","pʼu⁵⁵","pʼɪ⁵⁵","pʼei²¹","pʼɤ²¹","pʼɤ²¹","pʼɪ²¹","pʼi²¹","pʼe²¹","pʼi²¹","pʼi²¹"
"󳓥","bo²¹","po²¹","bɤ²¹","bu²¹","bʊ²¹","bɛ³³","bɤ⁵⁵","bɤ⁵⁵","pei⁵⁵","bo³³","pe⁵⁵","be¹³","pɪ³³"
"󳓦",,,,,,,"bɤ²¹",,,,,,
"󳓧","mo¹³","mo¹³","mor⁵⁵","mo³³","mor²¹","pʼei²¹","pe⁵⁵","pe⁵⁵","ɕɛ²¹",,,,
"󳓨","tso²¹","tsɐ²¹",,"tso²¹",,,"tʼɛ²¹","kʼɤr³³","tʂaŋ³³","tsʼi²¹","tsi⁵⁵","ti⁵⁵","tsʼe²¹"
"󳓩","tsiɯ³³","tsɿ³³","kar⁵⁵","tɕʼi⁵⁵","tsɯ⁵¹","ke³³",,"tsʼær³³","kʼa²¹","tsʼɿ³³","ka²¹","kb⁵⁵","tsa³³"
"󳓪",,"ȵdʑo³³",,,,,"dzᴀ²¹","dza²¹",,"ʂɿ³³",,,
"󳓫","sɪ¹³","sɛ¹³","bç²¹","sɪ¹³",,"ba²¹","pʼɛ³³","pʼɛ³³","ʂu²¹","tsʼi³³",,"ʂi³³",
"󳓬","sɪ¹³","se¹³",,"sɪ¹³","ɕir²¹",,"tsʼiɤ³³","tsʼɤ³³","dʑɪr²¹",,,,
"󳓭","ʈo³³","ʈa¹³","ʈɔ³³","ʈa¹³",,,"sɛ³³","ʈᴀ³³","ɕiao³³","tɕo³³",,"ʈʊ³³","tɬo⁵⁵、ʈo⁴⁴"
"󳓮",,"tɕʼi³³",,"tɕʼi³³",,,"tʂʼʅ³³","tsʼɿ³³",,"ʂo²¹",,,
"󳓯",,,,"xo³³",,,,"pu²¹",,"ʐo²¹",,,
"󳓰",,,,"xo³³",,,,"pur²¹",,"ʐo²¹",,,
"󳓱","tɕʊ¹³",,,,,,,,,,,,
"󳓲","ʑo²¹","ʑo³³","ʑɔ²¹","ʑo³³","ʑo⁵⁵",,,"vi⁵⁵zᴀ²¹",,,,"bɛ³³","ʐo⁵⁵"
"󳓳","kʼɪ³³","kʼe³³","ɳdʐər²¹","kʼi³³","tɕʼi⁵⁵","tɕʼei⁵³","pʼɛ²¹","pʼɛ²¹","fu³³","lu²¹","ɕu³³","tsʼɔ²¹","pɛ³³"
"󳓴","xo²¹",,,"xo²¹",,,,"mær³³.pæ²¹",,"na²¹",,,
"󳓵","pu³³","pu³³;sɿ³³","po³³",,,,,"tɤr²¹",,,,,
"󳓶","bo²¹","mbɯ²¹",,"bu²¹","bʊ⁵⁵","bə²¹","bɤ²¹","bɤ²¹",,"bo²¹",,,
"󳓷","bʊ²¹","bɯ²¹","bɤ²¹",,"bʊ²¹","bə","bɤ²¹","bɤ²¹","kʼu⁵⁵","bo³³","bo²¹","bo²¹","pɯ³³"
"󳓸","vɪ³³","vɛ³³","vi²¹","vɪ³³","vi⁵³","vei⁵⁵","vi³³",,"vɪ³³","vɛ³³",,,
"󳓹","dze²¹",,,,,,"dzɛ⁵⁵",,"dzɿ⁵⁵","bo³³",,,"tsi³³"
"󳓺","ndzu³³","ʈʼu³³",,"ʈʼu³³",,,"dzɿ³³",,,"n̩a³³",,,
"󳓻","ɖʊ²¹","ɖu⁵⁵",,"ɖu⁵⁵","do⁵¹","duo²¹","di³³","gɯ²¹","lɿ⁵⁵、ʑu⁵⁵","tɕʼi³³",,"ɖo³³","lɯ⁵⁵"
"󳓼","te¹³","ɬo²¹",,"to³³",,,"te⁵⁵",,,,,,
"󳓽","ndɯ⁵⁵",,,,,,"tsɤ³³","tsɤ³³","tse³³","po⁵⁵",,"lɯ⁵⁵",
"󳓾","nɪ³³","ɳɖa¹³",,,"nɚ⁵¹",,,,,,,,
"󳓿","nɪ¹³","ŋɖe¹³",,"nɪ¹³",,,,,"dɪ²¹",,,,
"󳔀","nɪ¹³","ne¹³","ȵi⁵⁵",,,"nei⁵⁵","tsa¹³","tsæ³³、gᴀ²¹、ni²¹","tsa¹³","ne⁵⁵",,,"nɪ⁵⁵"
"󳔁","ɬa³³","kʼua³³","ɬa³³","ɬa³³","ɬa⁵¹","ɬe⁵³","ɬe³³","ɬe³³",,"ɬɛ³³","le³³","le³³","ɬe³³"
"󳔂","tʂʼe²¹","tsʼɯ²¹","tʂʼo²¹","tʂʼe²¹","tɕʼɚ²¹","tɕʼa²¹","tɕʼe²¹","tsʼɛ²¹",,"tɕʼɿ³³",,"tɕʼɛ²¹",
"󳔃","ɳdʐʅ³³","ɳɖe³³","ɳɖʼɯ³³","ŋdi³³","ndɿ³³","ndɯ³³","ʑi³³","ʑi²¹","dzɿ⁵⁵","bɿ³³","ʑi³³",,"ʐi³³"
"󳔄",,,,,,,,"tɕʼi⁵⁵",,,,,
"󳔅","ku³³","tsɯ³³",,"ku³³",,,,,,,,,
"󳔆",,,,,,,"kʼa²¹",,,,,,
"󳔇","ge³³","gue³³","bi⁵⁵","kue³³","gɚ³³","dʑei⁵⁵","dʑi⁵⁵","dʑi⁵³","bɪ²¹","pɔ³³","be³¹","bi²¹","dʑɪ³³"
"󳔈","xa¹³.ʂo³³","so³³","xɔ⁵⁵","ʂo³³",,"ɕou⁵³","ɬa³³","xᴀ²¹","xu²¹","ʐu³³","gu³³","xɔ²¹","xo²¹"
"󳔉","ɣʊ²¹","ɣʊ²¹",,"ɣu²¹",,,"ʂo⁵⁵","so⁵⁵（dɯ²¹）",,,,,
"󳔊","dzɿ²¹","mʊ³³","bɤr⁵⁵","ndzu¹³",,"pɔ⁵³","bɤ²¹","bɤ²¹",,"pu³³",,,"bu³³"
"󳔋","tʼe³³","ɖʅ³³",,"ɬɪ³³",,,"dɤ²¹","dɤ²¹","ʂu³³","zo²¹",,,
"󳔌","kʼa⁵⁵",,,"kʼua³³",,,"te³³","te²¹","ʂɿr²¹","tɕʼi²¹",,"li⁵⁵",
"󳔍","ɣɯ³³",,,,,,,,,,,,
"󳔎","pʼo¹³","pʼo²¹",,,,,,,,"ʐu⁵⁵",,,
"󳔏","pʼu³³",,"bɤ²¹","pʼu³³",,"bɐ²¹","bɤ²¹","bɤ²¹","ɤoŋ³³","mbo²¹","xa²¹","pe³³","bɯ³³"
"󳔐","vɪ³³","vɛ³³","vi²¹","vɪ²¹","vi⁵¹","vei⁵³","vi³³","vi³³","vɪ³³","vɛ³³",,"vi³³",
"󳔑","ȵdʑu³³",,,,,,,,,,,,
"󳔒","ɣɯ³³","ɣɯ³³",,"ɣɯ³³","ɣɐ³³","ŋə⁵⁵","ɣo²¹","（nə⁵⁵）mu³³","va⁵⁵","tsɿ³³（ni³³）",,"kɛ¹³",
"󳔓","bu²¹","xɐ⁵⁵",,,,"kə³³","ɣu²¹","bu⁵⁵","kʼua³³","kʼa³³",,,
"󳔔","fa³³","ndi⁵⁵",,"fa¹³",,,,,,,,,
"󳔕",,,,,,,,,,"ta²¹",,,
"󳔖","to²¹","to²¹","tɔ²¹",,,"to⁵⁵","ta²¹","tæ²¹","tu³³","to²¹","ta³³","tɔ³³","to³³"
"󳔗","tie¹³","ti³³","to³³",,,"tu⁵³","to³³","to³³","tɐ²¹","tᴀ³³","to³³","to⁵⁵","tɐ⁵⁵"
"󳔘","dʐa³³","dza³³",,"dʐa³³","dʑɚ³³","no⁵⁵","ȵi³³","ȵi³³","ɣɯ⁵⁵","gu³³","me²¹",,
"󳔙","ɳdʐɪ¹³",,"ndʐʼi⁵⁵","ndʐɪ³³",,"tɕei⁵⁵","sɿ³³","tɕi³³","sɬ³³","ɳdʐɿ⁵⁵","tʂɪ³³","tɕi³³","tɕi⁵⁵"
"󳔚","tɕʼi⁵⁵","tɕʼi⁵⁵",,"tɕʼi","tɕʼi²¹","tɕʼei⁵⁵","tɕʼi⁵⁵","tɕʼi⁵⁵",,"tɕʼɿ⁵⁵",,,"tʂi⁵⁵"
"󳔛","ȵdʑy²¹","dɯ²¹",,"dʑy²¹",,,,,,,,,
"󳔜","ke⁵⁵","kue⁵⁵",,"kue⁵⁵",,,,"so²¹",,,,,
"󳔝",,,,"xɯ³³",,,,"xɤ⁵⁵",,,,,
"󳔞","bi²¹","bu⁵⁵",,,"bɪ²¹",,,"pæ²¹",,,,,
"󳔟","bo⁵⁵","ba³³","bɔ⁵⁵","ba³³","bu⁵¹","bɯ²¹","pa⁵⁵","ba⁵⁵","ma⁵⁵","ba³³",,"bɯ²¹","bu²¹"
"󳔠","mʊ⁵⁵",,,"mu⁵⁵","mo⁵⁵",,,,"mu²¹",,,,
"󳔡","tsa²¹","ndu⁵⁵","tɕʼe⁵⁵","tsa¹³",,"mə³³","tse²¹","tɕe²¹、do²¹","tsɿ⁵⁵","tsɿ³³",,"dzi³³","tse⁵⁵"
"󳔢",,"ȵi⁵⁵",,"ŋi⁵⁵",,,,,"ta⁵⁵","tᴀ³³",,,
"󳔣","tʼe³³","de³³","tʼɚ³³","tʼe³³","tʼɚ³³","tʼɚ⁵³","po²¹","pɤ²¹","tsɿ²¹","dʑi³³",,"pɯ⁵⁵","po⁵⁵"
"󳔤","da¹³",,,,,,,,,,,,
"󳔥","da¹³","ɖa²¹",,"da¹³",,,,,,"bu⁵⁵",,,
"󳔦","da¹³","dze³³",,"da⁵⁵","di³³",,"to⁵⁵","to⁵⁵",,,,,"to⁵⁵"
"󳔧","nɪ¹³","ɳɛ¹³","ʂo⁵⁵",,"nɯ²¹","tɕei⁵⁵","xɯ³³","xɯ³³","liao²¹","ȵu⁵⁵","sɛ⁵⁵",,"na⁵⁵"
"󳔨","tʂʼɯ⁵⁵","tsʼɿ⁵⁵","tʂʼʅ⁵⁵","tʂʼʅ⁵⁵","tɕʼɪ⁵⁵","tɕi⁵⁵","tɕʼɤ²¹","tsʼɤr²¹","tɕʼi²¹","tʂʼo²¹","tʂʼi²¹",,"tʂʼi²¹"
"󳔩","tʂʼɯ²¹","tʂʼɪ²¹","tɕe²¹","tʂʼʅ²¹","tɕʼɪ²¹","tɕʼi³³","tɕʼɤ²¹","bɛ²¹","tɕi³³","ȵdʑi²¹","tɕe³³","tɕe³³","tʂʼi³³"
"󳔪","ʂu³³",,,"ʂu³³",,,,"dɤ²¹",,,,,
"󳔫","ʂu³³","su³³","ʂo³³",,,,"ʂo³³",,"ʂa²¹",,,,
"󳔬",,,,"fɤ⁵⁵",,,,"zu²¹",,"ʐu²¹",,,
"󳔭",,"tɕʊ³³",,,,,,"tʼi³³",,,,,
"󳔮",,,"tɕʼɔ²¹","dze³³",,,"tu³³","tu³³","dʑe²¹","ma³³",,,
"󳔯","dʑy²¹","gɯ²¹",,"gɯ²¹","gɯ³³","lə⁵⁵","gɯ²¹","gɯ²¹",,"kʼa⁵⁵","gə³³","go³³",
"󳔰",,,,,,,,,,"ʑi²¹",,,
"󳔱","kʼu⁵⁵","kʼu⁵⁵","dor²¹","kʼu⁵⁵","mu⁵⁵","dou⁵³","kʼa²¹","du³³","do³³","pʼa⁵⁵","du³³","pʼa²¹","ka³¹"
"󳔲",,"ti¹³",,"ɣu¹³","ɣɯr²¹","to⁵⁵","ɣɯ²¹",,"ti²¹","vu⁵⁵",,,
"󳔳","ba³³","ba³³","de³³","ba³³","ba³³","mu³³","ba³³","te³³、ba³³","ti³³","ta³³",,,"bɐ²¹"
"󳔴","mu⁵⁵","m̩⁵⁵","me⁵⁵","mu⁵⁵","mi³³","mi²¹","me²¹","me²¹","sɐ²¹","mi³³",,,"mi⁵⁵"
"󳔵","sɯ²¹","sɯ²¹",,"sɿ⁵¹","sɯ⁵¹",,,"be²¹",,,,,
"󳔶",,"dzie⁵⁵",,,"tɤ⁵⁵",,,,"ti⁵⁵","ti⁵⁵",,,
"󳔷","ɬo³³","bo²¹",,"ɬo³³",,,,,,,,,
"󳔸","ʈʅ¹³","ʈʅ¹³",,"ʈɪ²¹","zɿ⁵⁵","ɕou³³",,"so²¹",,,"tʂo³³","tʂo¹³",
"󳔹","tʂʼɯ²¹","tsʼɪ²¹","tʂʼe²¹","tʂʼɚ²¹","tsʼɐ²¹",,"tɕʼi³³","tsʼɤ²¹","dʐu²¹","tʂʼo³⁴","dʐa²¹",,"tʂʼɤ³³"
"󳔺","tɕʊ⁵⁵","hɐ⁵⁵",,"tɕʊ⁵⁵",,,"tʂo⁵⁵","dzɛ⁵⁵",,"bo³³","lu⁵⁵（mʊ²¹）",,"ɬo⁵⁵（ŋɛ²¹）"
"󳔻","tɕʊ¹³","dʑʊ²¹","tɕo²¹","tɕʊ³³",,"dʑei³³","tɕi⁵⁵","tɕe⁵⁵","kɔ²¹","ŋga³³",,"lɤ²¹",
"󳔼","kʼa³³","kʼa³³","kʼa²¹","kʼa³³","kʼa⁵¹","kʼe⁵³","tɕʼe³³","tɕʼe³³","kʼa³³","kɔ³³","kʼiɛ³³","kʼa³³","ke³³"
"󳔽",,"va¹³","va⁵⁵",,,"ve⁵⁵","ta⁵⁵","kʼᴀ²¹","py²¹",,,,"kʼᴀ³³"
"󳔾",,"kʼu³³",,"kʼu³³","kʼu²¹",,"ka³³",,"kʼᴀ²¹",,,,
"󳔿","kʼu³³","kɐ³³",,"kʼu³³",,,,,,,,,
"󳕀","kʼɯ³³","tɕy⁵⁵","kʼə³³","kʼɯ²¹","kʼɯ³³","tɕʼu⁵⁵","tsʼo⁵⁵","tsʼo⁵⁵","tɕʼuŋ⁵⁵","xa³³",,"ta²¹",
"󳕁",,"tɕo³³",,"tɕo³³",,,,,,"gu³³",,,
"󳕂",,"ȵe³³",,"bʊ³³",,,"pɤ²¹",,,,,,
"󳕃",,"kʼɐ¹³",,"kʼu³³",,,"mu⁵⁵","mu⁵⁵",,,,,"mo⁵⁵"
"󳕄","dɪ¹³",,"do²¹",,"di³³","di²¹","do²¹","do²¹","da⁵⁵","da⁵⁵",,"do⁴⁴","dɪ³³"
"󳕅","ʂɯ¹³","sɿ²¹","ʂɯ⁵⁵","ʂʊ¹³","sɿ²¹sɐ¹³",,,"sɿr³³","niʊ²¹",,,,
"󳕆","ʈo⁵⁵","ʈo⁵⁵",,"ʈo⁵⁵",,,,,,,,,
"󳕇","tʂʼɯ⁵⁵","tsʼɿ⁵⁵",,"tʂʼʅ⁵⁵","tɕʼɪ⁵⁵",,,"xo²¹",,"pʼi²¹",,,
"󳕈","tʂʼɯ⁵⁵","tsʼɿ³³","tʂʼʅ⁵⁵","tʂʼʅ⁵⁵",,,"tsʼu³³","pᴀ³³","paŋ³³","tɯ²¹","pa³³","pa³³","pɛ³³"
"󳕉","tʂʼʅ²¹","tsʼɿ²¹","tʂʼe²¹","tɚʼi²¹","tɕʼi²¹","tɕʼe²¹","tɕʼe²¹","tɕʼe²¹","tɕʼi⁵⁵","tʂʼɯ³³","tɕʼe³³","tɕʼe³³","tɕʼɪ³³"
"󳕊","tɕʼy¹³","tɕʼi³³","tɕʼɯ³³","tɕʼi³³",,"ɣɔ⁵³","to³³","tɛ³³","ʑɛ²¹、tᴀ³³","（a³³）fu³³","kɯ³³","pɯ⁵⁵",
"󳕋","kʼu⁵⁵","kʼu⁵⁵","tsʼe⁵⁵","kʼu⁵⁵",,"kʼu²¹","xu³³","tɕʼi²¹","xɔ³³","pʼᴀ⁵⁵","fu³³","fu³³","ɬo⁴⁴"
"󳕌",,,,,,,,,,"hɯ⁵⁵",,,
"󳕍","be⁵⁵","bie⁵⁵",,"be⁵⁵","bɪ⁵¹",,,,,"kʼe⁵⁵",,,
"󳕎","dzɪ³³","dzɛ³³","dzir²¹","dzɪ³³","dʑi⁵¹","dzei⁵³","dzɛ³³","tɕi³³","tʼo³³","dzɛ³³","dzir³³","tʼu³³","dzi³³"
"󳕏","ʈʼɯ³³","ʈʼɐ³³",,"ʈʼʅ²¹",,,,"tsʼær³³",,,,,
"󳕐","mu³³","mɐ³³","ɳɯ²¹","mu³³",,"maɯ⁵³】ɬi³³","ɬi⁵⁵","ɬi⁵⁵","tʂʼa³³","piur³³",,"pʼɯ³³","ʑɛ²¹"
"󳕑","ɬi³³","ɬi³³","ɬi²¹","ɬi³³","ɬi⁵⁵","ɬi⁵³","ɬi⁵⁵","ɬi³³","xo³³","lɿ³³","li⁵⁵","li⁵⁵","ɬi⁵⁵"
"󳕒",,"dzʊ³³",,,,,"ɣo²¹","ɣo²¹","tɕʼi²¹",,,,
"󳕓","tsʼu³³","tsʼu³³","tsʼu³³",,"tsʼʊ³³",,"tsʼɔ³³","tsʼo²¹","tõ³³","tsʼu³³","tʂɔ⁵⁵","tsʼu²¹","tsʼɿ²¹"
"󳕔","vu³³","vu³³",,"vu³³",,,,,,,,,
"󳕕","dʑɯ³³","na³³","dʑe³³","dʑi³³",,,"ne³³","ȵe³³",,"dʑi³³",,,
"󳕖","tʼu⁵⁵","tʼu⁵⁵",,"tʼu⁵⁵",,,"tʼo²¹",,"ba³³","᷈no³³",,,
"󳕗","nda¹³","tsɐ⁵⁵",,"nda¹³",,,,"tsʼo²¹",,"ndᴀ²¹",,"ʑe³³",
"󳕘","tʂe⁵⁵","tse⁵⁵","tʂo²¹","tse⁵⁵","tɕɚ⁵⁵","tɕo⁵⁵",,"dzo²¹",,"dʑɛ²¹",,,
"󳕙",,,,"ȵdʑa³³",,,,"ʑe³³",,,,,
"󳕚","ŋgo²¹","ŋgo²¹",,"ŋgo²¹",,,,"dᴀ²¹","tʼui⁵⁵",,,,
"󳕛","xɯ²¹","xɯ²¹","ɳdʐʼu²¹","xɯ²¹",,"tɕou²¹","xɯ²¹","tsur³³xɤ²¹","ma⁵⁵","ʂo³³tsʼi²¹",,"tsɿ⁵⁵","ʂʅ³³"
"󳕜","kʼu⁵⁵","kʼʊ⁵⁵","kʼu⁵⁵","kʼu⁵⁵","kʼu⁵⁵","kʼu²¹","kʼo²¹","kʼo²¹","ku³³",,"kʼu²¹","kʼɯ²¹",
